id,date_time,feedback,performance,trip_number,age,gender,income,state
12,2024-01-18T05:32:00Z,0,61,1,25,1,67387,North Dakota
19,2024-01-23T02:25:00Z,0,72,1,31,1,36797,Colorado
20,2024-01-05T12:00:00Z,1,50,1,51,1,65746,New Hampshire
41,2024-01-26T16:07:00Z,1,15,1,45,0,93206,Vermont
3,2024-01-04T12:48:00Z,0,69,1,23,0,46385,Kansas
4,2024-01-08T06:24:00Z,1,12,1,60,1,45192,Idaho
34,2024-01-09T19:01:00Z,0,75,1,43,0,64774,Illinois
9,2024-01-15T12:51:00Z,1,40,1,49,1,53991,New York
43,2024-01-06T14:45:00Z,1,10,1,56,0,38842,Mississippi
9,2024-01-13T13:40:00Z,1,47,2,49,1,53991,New York
40,2024-01-12T20:33:00Z,1,48,1,33,0,80516,Tennessee
20,2024-01-27T05:13:00Z,0,73,2,51,1,65746,New Hampshire
48,2024-01-21T10:20:00Z,0,53,1,42,1,96762,California
10,2024-01-04T03:25:00Z,1,58,1,47,0,41808,Nebraska
44,2024-01-14T14:29:00Z,1,67,1,40,0,33301,Tennessee
10,2024-01-11T05:22:00Z,0,80,2,47,0,41808,Nebraska
30,2024-01-16T14:56:00Z,1,38,1,25,1,66548,Ohio
42,2024-01-27T08:40:00Z,1,30,1,53,1,54838,New Hampshire
47,2024-01-27T17:05:00Z,1,6,1,55,1,30788,South Carolina
14,2024-01-25T17:33:00Z,1,21,1,44,0,63615,Idaho
12,2024-01-09T03:14:00Z,0,61,2,25,1,67387,North Dakota
7,2024-01-12T01:51:00Z,1,14,1,46,1,61969,California
40,2024-01-17T21:35:00Z,0,56,2,33,0,80516,Tennessee
21,2024-01-16T05:37:00Z,1,74,1,28,1,33000,South Dakota
19,2024-01-17T05:16:00Z,1,19,2,31,1,36797,Colorado
47,2024-01-04T18:39:00Z,1,58,2,55,1,30788,South Carolina
20,2024-01-04T23:46:00Z,0,97,3,51,1,65746,New Hampshire
19,2024-01-04T10:04:00Z,1,1,3,31,1,36797,Colorado
48,2024-01-23T13:18:00Z,1,0,2,42,1,96762,California
41,2024-01-03T15:44:00Z,1,12,2,45,0,93206,Vermont
2,2024-01-10T04:23:00Z,0,43,1,33,0,92124,Vermont
50,2024-01-28T18:48:00Z,1,27,1,42,1,59292,Nebraska
50,2024-01-28T06:12:00Z,0,40,2,42,1,59292,Nebraska
11,2024-01-04T14:27:00Z,1,9,1,50,0,92321,Pennsylvania
5,2024-01-17T00:16:00Z,1,49,1,56,0,91599,Pennsylvania
36,2024-01-24T20:11:00Z,0,61,1,32,0,63569,New York
31,2024-01-16T18:25:00Z,0,79,1,36,0,93546,Kentucky
10,2024-01-08T19:20:00Z,0,75,3,47,0,41808,Nebraska
30,2024-01-03T01:48:00Z,1,70,2,25,1,66548,Ohio
31,2024-01-10T13:31:00Z,0,77,2,36,0,93546,Kentucky
21,2024-01-27T08:26:00Z,0,89,2,28,1,33000,South Dakota
21,2024-01-10T09:31:00Z,0,42,3,28,1,33000,South Dakota
17,2024-01-19T05:19:00Z,1,26,1,39,0,28567,North Dakota
21,2024-01-02T18:10:00Z,0,68,4,28,1,33000,South Dakota
11,2024-01-05T05:50:00Z,0,93,2,50,0,92321,Pennsylvania
3,2024-01-13T20:30:00Z,0,69,2,23,0,46385,Kansas
5,2024-01-07T04:32:00Z,0,49,2,56,0,91599,Pennsylvania
5,2024-01-21T02:12:00Z,1,23,3,56,0,91599,Pennsylvania
19,2024-01-26T16:03:00Z,0,95,4,31,1,36797,Colorado
50,2024-01-11T09:36:00Z,0,62,3,42,1,59292,Nebraska
50,2024-01-11T14:18:00Z,1,15,4,42,1,59292,Nebraska
4,2024-01-07T23:12:00Z,1,48,2,60,1,45192,Idaho
23,2024-01-22T09:27:00Z,1,39,1,40,0,73639,California
11,2024-01-01T03:55:00Z,0,79,3,50,0,92321,Pennsylvania
4,2024-01-28T10:57:00Z,1,3,3,60,1,45192,Idaho
22,2024-01-24T15:06:00Z,1,70,1,29,1,75649,Alaska
42,2024-01-26T10:11:00Z,0,56,2,53,1,54838,New Hampshire
12,2024-01-18T17:10:00Z,1,52,3,25,1,67387,North Dakota
50,2024-01-30T05:14:00Z,1,35,5,42,1,59292,Nebraska
38,2024-01-02T09:26:00Z,0,45,1,45,0,73607,North Dakota
10,2024-01-13T03:43:00Z,1,57,4,47,0,41808,Nebraska
48,2024-01-26T12:21:00Z,0,55,3,42,1,96762,California
14,2024-01-02T04:26:00Z,0,81,2,44,0,63615,Idaho
43,2024-01-14T17:54:00Z,1,31,2,56,0,38842,Mississippi
12,2024-01-23T23:26:00Z,1,31,4,25,1,67387,North Dakota
30,2024-01-18T23:53:00Z,1,1,3,25,1,66548,Ohio
25,2024-01-24T10:05:00Z,0,63,1,19,0,84167,Minnesota
50,2024-01-25T18:54:00Z,0,42,6,42,1,59292,Nebraska
46,2024-01-17T23:57:00Z,0,75,1,19,0,96357,Utah
49,2024-01-26T06:09:00Z,0,64,1,48,1,79221,South Carolina
6,2024-01-12T07:54:00Z,0,100,1,41,0,65944,Montana
34,2024-01-17T12:11:00Z,1,8,2,43,0,64774,Illinois
34,2024-01-12T11:57:00Z,1,1,3,43,0,64774,Illinois
24,2024-01-20T13:34:00Z,0,60,1,59,0,85523,South Carolina
15,2024-01-13T19:36:00Z,1,72,1,54,0,90068,Kentucky
24,2024-01-10T21:29:00Z,0,80,2,59,0,85523,South Carolina
22,2024-01-24T00:37:00Z,0,96,2,29,1,75649,Alaska
